nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Lenny  Martinez;Lenny; Martinez;male;France;https://www.instagram.com/lennymrtz/?hl=fr;https://www.strava.com/athletes/19286143;null;null;198;0;912;165;551;758;null;null;1680;52;168;2003-07-11;Bahrain - Victorious
Rudy  Molard;Rudy; Molard;male;France;https://www.instagram.com/rudymolard89/;https://www.strava.com/pros/1759446;null;null;1030;56;1675;161;1651;1462;null;null;177;62;178;1989-09-17;Groupama - FDJ
Quentin  Pacher;Quentin; Pacher;male;France;https://www.instagram.com/quentinpacher/;https://www.strava.com/pros/qpacher;null;null;1469;82;1030;122;1021;811;null;null;127;62;179;1992-01-06;Groupama - FDJ
Enzo  Paleni;Enzo; Paleni;male;France;https://www.instagram.com/nzopli/;https://www.strava.com/athletes/21116758;null;null;96;35;37;109;96;35;null;null;534;65;180;2002-05-30;Groupama - FDJ
Paul  Penhoët;Paul; Penhoët;male;France;https://www.instagram.com/paul.penhoet/;https://www.strava.com/athletes/9019175;null;null;392;687;30;4;252;675;null;null;189;64;173;2001-12-28;Groupama - FDJ
Laurence  Pithie;Laurence; Pithie;male;New Zealand;https://www.instagram.com/laurencepithie;https://www.strava.com/athletes/7714727?hl=fr-FR;null;null;446;528;36;53;106;919;null;null;60;74;185;2002-07-17;Red Bull - BORA - hansgrohe
Rémy  Rochas;Rémy; Rochas;male;France;https://www.instagram.com/remyrochas/;https://www.strava.com/athletes/3286366;null;null;382;8;385;88;652;222;null;null;574;51;164;1996-05-18;Groupama - FDJ
Andrea  Bagioli;Andrea; Bagioli;male;Italy;https://www.instagram.com/andrea.bagioli/;https://www.strava.com/athletes/19593505;null;null;994;8;972;113;330;1215;null;null;1586;60;176;1999-03-23;Lidl - Trek
Julien  Bernard;Julien; Bernard;male;France;https://www.instagram.com/juubernard;https://www.strava.com/pros/1903938;null;null;272;22;382;43;773;231;null;null;330;60;176;1992-03-17;Lidl - Trek
Simone  Consonni;Simone; Consonni;male;Italy;https://www.instagram.com/simoneconsonni;https://www.strava.com/athletes/2824377;null;null;1438;1270;82;25;338;1571;null;null;2094;60;165;1994-09-12;Lidl - Trek
